!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E4I' 'TableTitle='' Document='Fujita_2010_gsa'	
!Input_Time_S9	>S9	!Sim_Time
0	0	4000
1	10	
